City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Nhulunbuy,AU,-12.2333,136.7667,86.61,70,98,11.5,overcast clouds
326,Brae,GB,60.3964,-1.353,50.56,83,100,18.41,overcast clouds
327,Hambantota,LK,6.1241,81.1185,86.34,79,20,5.75,few clouds
328,Touros,BR,-5.1989,-35.4608,81.7,70,39,13.33,scattered clouds
329,Tecoanapa,MX,16.5167,-98.75,75.16,90,11,3.94,few clouds
330,Ust-Karsk,RU,52.7011,118.8077,-6.83,100,96,1.99,overcast clouds
331,Codrington,AU,-38.2667,141.9667,58.14,85,44,12.44,scattered clouds
332,Fernie,CA,49.5,-115.0687,35.8,99,100,2.8,overcast clouds
333,Sligo,IE,54.2697,-8.4694,53.69,87,100,17.27,overcast clouds
334,Sarangani,PH,5.4033,125.4636,83.88,77,90,21.21,overcast clouds
335,Pinheiro Machado,BR,-31.5783,-53.3811,60.06,83,0,6.82,clear sky
336,Omboue,GA,-1.5746,9.2618,75.56,91,100,5.48,overcast clouds
337,Gboko,NG,7.3179,8.9951,88.66,18,1,6.38,clear sky
338,Taybad,IR,34.74,60.7756,74.19,14,0,8.05,clear sky
339,Chengde,CN,40.9725,117.9361,26.49,24,51,2.62,broken clouds
340,Senanga,ZM,-16.1167,23.2667,85.57,40,98,11.3,overcast clouds
341,Namibe,AO,-15.1961,12.1522,76.55,68,47,14.2,scattered clouds
342,Villa Del Rosario,CO,7.8339,-72.4742,68.29,92,96,3.38,overcast clouds
343,Saint-Raymond,CA,45.467,-73.6095,35.94,72,100,6.91,overcast clouds
344,Shimoda,JP,34.6667,138.95,57.11,82,100,10.45,overcast clouds
